code,description
A63.8,"Other Specified Predominantly Sexually
Transmitted Diseases"
A64,Unspecified Sexually Transmitted Disease
A69.20,"Lyme Disease, Unspecified"
B00.9,"Herpesviral Infection, Unspecified"
B17.10,Acute Hepatitis C Without Hepatic Coma
B18.1,Chronic Viral Hepatitis B Without Delta-Agent
B18.2,Chronic Viral Hepatitis C
B19.20,Unspecified Viral Hepatitis C Without Hepatic Coma
B20,Human Immunodeficiency Virus (HIV) Disease
B34.9,"Viral Infection, Unspecified"
B35.1,Tinea Unguium
B37.3,Candidiasis Of Vulva And Vagina
B89,Unspecified Parasitic Disease
B96.81,"Helicobacter Pylori (H. Pylori) As The Cause Of Diseases
Classified Elsewhere"
B97.7,"Papillomavirus As The Cause Of Diseases
Specified Elsewhere"
B99.9,Unspecified Infectious Disease
C18.9,"Malignant Neoplasm Of Colon, Unspecified"
C20,Malignant Neoplasm Of Rectum
C34.90,"Malignant Neoplasm Of Unspecified Part Of
Unspecified Bronchus Or Lung"
C50.419,"Malignant Neoplasm Of Upper-Outer Quadrant Of
Unspecified Female Breast"
C50.911,"Malignant Neoplasm Of Unspecified Site Of
Right Female Breast"
C50.912,"Malignant Neoplasm Of Unspecified Site Of
Left Female Breast"
C50.919,"Malignant Neoplasm Of Unspecified Site Of
Unspecified Female Breast"
C50.919,"Malignant Neoplasm Of Unspecified Site Of
Unspecified Female Breast"
C54.9,"Malignant Neoplasm Of Corpus Uteri, Unspecified"
C56.1,Malignant Neoplasm Of Right Ovary
C56.2,Malignant Neoplasm Of Left Ovary
C56.9,Malignant Neoplasm Of Unspecified Ovary
C61,Malignant Neoplasm Of Prostate
C67.9,"Malignant Neoplasm Of Bladder, Unspecified"
C73,Malignant Neoplasm Of Thyroid Gland
C79.51,Secondary Malignant Neoplasm Of Bone
C79.52,Secondary Malignant Neoplasm Of Bone Marrow
C85.80,"Other Specified Types Of Non-Hodgkins Lymphoma,
Unspecified Site"
C90.00,Multiple Myeloma Not Having Achieved Remission
C90.00,Multiple Myeloma Not Having Achieved Remission
C91.10,"Chronic Lymphocytic Leukemia Of B-Cell Type
Not Having Achieved Remission"
C91.11,"Chronic Lymphocytic Leukemia Of B-Cell Type
In Remission"
C91.12,"Chronic Lymphocytic Leukemia Of B-Cell Type
In Relapse"
D12.6,"Benign Neoplasm Of Colon, Unspecified"
D25.9,"Leiomyoma Of Uterus, Unspecified"
D47.2,Monoclonal Gammopathy
D48.5,Neoplasm Of Uncertain Behavior Of Skin
D49.2,"Neoplasm Of Unspecified Behavior Of Bone,
Soft Tissue, And Skin"
D50.0,"Iron Deficiency Anemia Secondary
To Blood Loss (Chronic)"
D50.8,Other Iron Deficiency Anemias
D50.9,"Iron Deficiency Anemia, Unspecified"
D51.0,"Vitamin D Deficiency Anemia Due To
Intrinsic Factor Deficiency"
D51.0,"Vitamin B12 Deficiency Anemia Due To
Intrinsic Factor Deficiency"
D51.1,"Vitamin B12 Deficiency Anemia Due To
Selective Vitamin B12 Malabsorption With Proteinuria"
D51.2,Transcobalamin 2 Deficiency
D51.3,Other Dietary Vitamin B12 Deficiency Anemia
D51.8,Other Vitamin B12 Deficiency Anemia
D51.9,"Vitamin B12 Deficiency Anemia, Unspecified"
D53.9,"Nutritional Anemia, Unspecified"
D63.1,Anemia In Chronic Kidney Disease
D63.8,Anemia In Other Chronic Diseases Classified Elsewhere
D64.89,Other Specified Anemias
D64.9,"Anemia, Unspecified"
D68.318,"Other Hemorrhagic Disorder Due To Intrinsic Circulating
Anticoagulants, Antibodies, Or Inhibitors"
D68.59,Other Primary Thrombophilia
D68.9,"Coagulation Defect, Unspecified"
D69.6,"Thrombocytopenia, Unspecified"
D70.9,"Neutropenia, Unspecified"
D72.819,"Decreased White Blood Cell Count, Unspecified"
D72.829,"Elevated White Blood Cell Count, Unspecified"
D72.89,Other Specified Disorders Of White Blood Cells
E03.8,Other Specified Hypothyroidism
E03.9,"Hypothyroidism, Unspecified"
E04.1,Nontoxic Single Thyroid Nodule
E04.2,Nontoxic Multinodular Goiter
E04.9,"Nontoxic Goiter, Unspecified"
E05.00,"Thyrotoxicosis With Diffuse Goiter
Without Thyrotoxic Crisis Or Storm"
E05.90,"Thyrotoxicosis, Unspecified
Without Thyrotoxic Crisis Or Storm"
E06.3,Autoimmune Thyroiditis
E07.9,"Disorder Of Thyroid, Unspecified"
E10.9,Type 1 Diabetes Mellitus Without Complications
E10.9,Type 1 Diabetes Mellitus Without Complications
E11.21,Type 2 Diabetes Mellitus With Diabetic Nephropathy
E11.21,Type 2 Diabetes Mellitus With Diabetic Nephropathy
E11.22,"Type 2 Diabetes Mellitus With Diabetic Chronic
Kidney Disease"
E11.22,"Type 2 Diabetes Mellitus With Diabetic Chronic
Kidney Disease"
